,date,year,month,open,high,low,close,volume,id
1594,2007-09-19,2007,9,143.02,506.5,139.4,140.77,36674264,1617
1593,2007-09-20,2007,9,140.15,506.5,139.32,140.31,24708539,1616
1592,2007-09-21,2007,9,141.14,506.5,140.31,144.15,40664882,1615
1591,2007-09-24,2007,9,146.73,506.5,146.65,148.28,37577154,1614
1590,2007-09-25,2007,9,146.84,506.5,146.82,153.18,42591025,1613
1589,2007-09-26,2007,9,154.47,506.5,151.25,152.77,34830970,1612
1588,2007-09-27,2007,9,153.77,506.5,152.32,154.5,23507014,1611
1587,2007-09-28,2007,9,153.44,506.5,152.75,153.47,21959921,1610
1586,2007-10-01,2007,10,154.63,506.5,152.93,156.34,29895206,1609
1585,2007-10-02,2007,10,156.55,506.5,155.89,158.45,28288192,1608
1584,2007-10-03,2007,10,157.78,506.5,157.01,157.92,24732737,1607
1583,2007-10-04,2007,10,158,506.5,153.5,156.24,23462781,1606
1582,2007-10-05,2007,10,158.37,506.5,157.7,161.45,33678260,1605
1581,2007-10-08,2007,10,163.49,506.5,162.97,167.91,29854511,1604
1580,2007-10-09,2007,10,170.2,506.5,166.68,167.86,39494476,1603
1579,2007-10-10,2007,10,167.55,506.5,165.6,166.79,23842437,1602
1578,2007-10-11,2007,10,169.49,506.5,153.21,162.23,58713949,1601
1577,2007-10-12,2007,10,163.01,506.5,161.8,167.25,35284159,1600
1576,2007-10-15,2007,10,167.98,506.5,163.5,166.98,38497463,1599
1575,2007-10-16,2007,10,165.54,506.5,165.15,169.58,38136777,1598
1574,2007-10-17,2007,10,172.69,506.5,169.18,172.75,40271862,1597
1573,2007-10-18,2007,10,171.5,506.5,171.05,173.5,29440947,1596
1572,2007-10-19,2007,10,174.24,506.5,170,170.42,46116911,1595
1571,2007-10-22,2007,10,170.35,506.5,169.96,174.36,58910605,1594
1570,2007-10-23,2007,10,188.56,506.5,182.76,186.16,64112989,1593
1569,2007-10-24,2007,10,185.81,506.5,179.24,185.93,46017132,1592
1568,2007-10-25,2007,10,184.87,506.5,181.66,182.78,34771995,1591
1567,2007-10-26,2007,10,185.29,506.5,182.88,184.7,25237569,1590
1566,2007-10-29,2007,10,185.45,506.5,184.7,185.09,19305477,1589
1565,2007-10-30,2007,10,186.18,506.5,184.73,187,33550461,1588
1564,2007-10-31,2007,10,187.63,506.5,184.95,189.95,29761088,1587
1563,2007-11-01,2007,11,188.6,506.5,180,187.44,28751248,1586
1562,2007-11-02,2007,11,189.21,506.5,183.49,187.87,35789773,1585
1561,2007-11-05,2007,11,185.29,506.5,184.24,186.18,28720523,1584
1560,2007-11-06,2007,11,187.05,506.5,185.27,191.79,34097332,1583
1559,2007-11-07,2007,11,190.61,506.5,186.13,186.3,35511653,1582
1558,2007-11-08,2007,11,186.67,506.5,167.77,175.47,67513466,1581
1557,2007-11-09,2007,11,171.15,506.5,165.21,165.37,54496670,1580
1556,2007-11-12,2007,11,165.28,506.5,150.63,153.76,63180824,1579
1555,2007-11-13,2007,11,160.85,506.5,153.76,169.96,62123079,1578
1554,2007-11-14,2007,11,177.16,506.5,163.74,166.11,51755984,1577
1553,2007-11-15,2007,11,166.39,506.5,160.3,164.3,53121785,1576
1552,2007-11-16,2007,11,165.3,506.5,159.33,166.39,49404733,1575
1551,2007-11-19,2007,11,166.1,506.5,162.1,163.95,41229585,1574
1550,2007-11-20,2007,11,165.67,506.5,163.53,168.85,55130014,1573
1549,2007-11-21,2007,11,165.84,506.5,164.67,168.46,43520912,1572
1548,2007-11-23,2007,11,172,506.5,169.75,171.54,16634143,1571
1547,2007-11-26,2007,11,173.59,506.5,172.35,172.54,46634062,1570
1546,2007-11-27,2007,11,175.22,506.5,170.01,174.81,47036711,1569
1545,2007-11-28,2007,11,176.82,506.5,175.35,180.22,41103967,1568
1544,2007-11-29,2007,11,179.43,506.5,179.15,184.29,37533058,1567
1543,2007-11-30,2007,11,187.34,506.5,179.7,182.22,42414905,1566
1542,2007-12-03,2007,12,181.86,506.5,177.7,178.86,34338178,1565
1541,2007-12-04,2007,12,177.15,506.5,176.99,179.81,27635681,1564
1540,2007-12-05,2007,12,182.89,506.5,182.41,185.5,31871473,1563
1539,2007-12-06,2007,12,186.19,506.5,186.12,189.95,32159573,1562
1538,2007-12-07,2007,12,190.54,506.5,188.04,194.3,38067795,1561
1537,2007-12-10,2007,12,193.59,506.5,192.69,194.21,25799130,1560
1536,2007-12-11,2007,12,194.75,506.5,187.39,188.54,39675869,1559
1535,2007-12-12,2007,12,193.44,506.5,185.76,190.86,43773562,1558
1534,2007-12-13,2007,12,190.19,506.5,187.82,191.83,30925621,1557
1533,2007-12-14,2007,12,190.37,506.5,189.54,190.39,24085709,1556
1532,2007-12-17,2007,12,190.72,506.5,182.98,184.4,36596134,1555
1531,2007-12-18,2007,12,186.52,506.5,178.6,182.98,43664353,1554
1530,2007-12-19,2007,12,182.98,506.5,180.9,183.12,29552784,1553
1529,2007-12-20,2007,12,185.43,506.5,183.33,187.21,27644803,1552
1528,2007-12-21,2007,12,190.12,506.5,189.89,193.91,35532734,1551
1527,2007-12-24,2007,12,195.03,506.5,194.79,198.8,17152410,1550
1526,2007-12-26,2007,12,199.01,506.5,196.82,198.95,25133289,1549
1525,2007-12-27,2007,12,198.95,506.5,197.8,198.57,28411624,1548
1524,2007-12-28,2007,12,200.59,506.5,196.88,199.83,24978825,1547
1523,2007-12-31,2007,12,199.5,506.5,197.75,198.08,19252897,1546
1522,2008-01-02,2008,1,199.27,506.5,192.55,194.84,38542020,1545
1521,2008-01-03,2008,1,195.41,506.5,192.69,194.93,30073780,1544
1520,2008-01-04,2008,1,191.45,506.5,178.89,180.05,51984122,1543
1519,2008-01-07,2008,1,181.25,506.5,170.23,177.64,74006846,1542
1518,2008-01-08,2008,1,180.14,506.5,170.8,171.25,54421984,1541
1517,2008-01-09,2008,1,171.3,506.5,168.3,179.4,64840673,1540
1516,2008-01-10,2008,1,177.58,506.5,175.41,178.02,52963350,1539
1515,2008-01-11,2008,1,176,506.5,170,172.69,43997520,1538
1514,2008-01-14,2008,1,177.52,506.5,175.17,178.78,39301774,1537
1513,2008-01-15,2008,1,177.72,506.5,164.66,169.04,83687732,1536
1512,2008-01-16,2008,1,165.31,506.5,156.7,159.64,79191989,1535
1511,2008-01-17,2008,1,161.51,506.5,158.42,160.89,62853413,1534
1510,2008-01-18,2008,1,161.71,506.5,159.61,161.36,61558276,1533
1509,2008-01-22,2008,1,148.06,506.5,146,155.64,86963480,1532
1508,2008-01-23,2008,1,136.19,506.5,126.14,139.07,120466292,1531
1507,2008-01-24,2008,1,139.99,506.5,132.01,135.6,71638013,1530
1506,2008-01-25,2008,1,138.99,506.5,129.61,130.01,55526314,1529
1505,2008-01-28,2008,1,128.16,506.5,126.45,130.01,52672974,1528
1504,2008-01-29,2008,1,131.15,506.5,129.05,131.54,39285086,1527
1503,2008-01-30,2008,1,131.37,506.5,130,132.18,44394619,1526
1502,2008-01-31,2008,1,129.45,506.5,129.4,135.36,48059713,1525
1501,2008-02-01,2008,2,136.24,506.5,132.18,133.75,36093297,1524
1500,2008-02-04,2008,2,134.21,506.5,131.42,131.65,32115481,1523
1499,2008-02-05,2008,2,130.43,506.5,128.9,129.36,40751491,1522
1498,2008-02-06,2008,2,130.83,506.5,121.77,122,56188205,1521
1497,2008-02-07,2008,2,119.97,506.5,117.27,121.24,74450275,1520
1496,2008-02-08,2008,2,122.08,506.5,121.6,125.48,48418661,1519
1495,2008-02-11,2008,2,128.01,506.5,127.2,129.45,42908217,1518
1494,2008-02-12,2008,2,130.7,506.5,123.62,124.86,43784943,1517
1493,2008-02-13,2008,2,126.68,506.5,125.63,129.4,34590469,1516
1492,2008-02-14,2008,2,129.4,506.5,127.01,127.46,34080728,1515
1491,2008-02-15,2008,2,126.27,506.5,124.06,124.63,32184118,1514
1490,2008-02-19,2008,2,125.99,506.5,121.44,122.18,35894478,1513
1489,2008-02-20,2008,2,122.2,506.5,121.68,123.82,34551356,1512
1488,2008-02-21,2008,2,126.05,506.5,120.86,121.54,33504078,1511
1487,2008-02-22,2008,2,122.48,506.5,115.87,119.46,54614502,1510
